ĝajna	ĝajn'a
ĝisfinecon	ĝis'fin'ec'o'n
ĝisfrazo	ĝis'fraz'o
ĝisfreneze	ĝis'frenez'e
ĝisfunda	ĝis'fund'a
ĝisfundaj	ĝis'fund'a'j
ĝisfundan	ĝis'fund'a'n
ĝisfunde	ĝis'fund'e
ĝisfunden	ĝis'fund'e'n
ĝisgenua	ĝis'genu'a
ĝisgenuaj	ĝis'genu'a'j
ĝisgenuajn	ĝis'genu'a'j'n
ĝisgenuan	ĝis'genu'a'n
ĝisgenue	ĝis'genu'e
ĝisgorĝe	ĝis'gorĝ'e
ĝisgrimpis	ĝis'grimp'is
ĝisgrunde	ĝis'grund'e
ĝishaŭte	ĝis'haŭt'e
