ŝilingon	ŝiling'o'n
ŝima	ŝim'a
ŝimo	ŝim'o
ŝimoj	ŝim'o'j
ŝimojn	ŝim'o'j'n
ŝimon	ŝim'o'n
ŝindo	ŝind'o
ŝindoj	ŝind'o'j
ŝinko	ŝink'o
ŝinkoj	ŝink'o'j
ŝinkon	ŝink'o'n
ŝinkanseno	ŝinkansen'o
ŝintoo	ŝinto'o
ŝintoismo	ŝinto'ism'o
ŝipa	ŝip'a
ŝipaj	ŝip'a'j
ŝipan	ŝip'a'n
ŝipe	ŝip'e
ŝipo	ŝip'o
ŝipoj	ŝip'o'j
ŝipojn	ŝip'o'j'n
ŝipon	ŝip'o'n
ŝipado	ŝip'ad'o
ŝipano	ŝip'an'o
ŝipanoj	ŝip'an'o'j
ŝipanojn	ŝip'an'o'j'n
ŝipanaro	ŝip'an'ar'o
ŝipanaron	ŝip'an'ar'o'n
ŝiparo	ŝip'ar'o
ŝiparoj	ŝip'ar'o'j
ŝiparon	ŝip'ar'o'n
ŝipartrupoj	ŝip'ar'trup'o'j
ŝipego	ŝip'eg'o
ŝipestro	ŝip'estr'o
ŝipestroj	ŝip'estr'o'j
ŝipestron	ŝip'estr'o'n
ŝipeto	ŝip'et'o
ŝipetoj	ŝip'et'o'j
ŝipeton	ŝip'et'o'n
ŝipfarejo	ŝip'far'ej'o
ŝipisto	ŝip'ist'o
ŝipistoj	ŝip'ist'o'j
ŝipitineroj	ŝip'itiner'o'j
ŝipkonstruado	ŝip'konstru'ad'o
ŝipkonstruejo	ŝip'konstru'ej'o
ŝipkonstruejoj	ŝip'konstru'ej'o'j
ŝipkorpo	ŝip'korp'o
ŝiprando	ŝip'rand'o
ŝiprandon	ŝip'rand'o'n
ŝipruino	ŝip'ruin'o
ŝipveturado	ŝip'vetur'ad'o
ŝiras	ŝir'as
ŝire	ŝir'e
ŝiri	ŝir'i
ŝiris	ŝir'is
ŝiro	ŝir'o
ŝiros	ŝir'os
ŝiru	ŝir'u
ŝirado	ŝir'ad'o
ŝirante	ŝir'ant'e
ŝireto	ŝir'et'o
ŝiriĝas	ŝir'iĝ'as
ŝiriĝis	ŝir'iĝ'is
ŝiriĝinta	ŝir'iĝ'int'a
ŝiriĝintaj	ŝir'iĝ'int'a'j
ŝirita	ŝir'it'a
ŝiritaj	ŝir'it'a'j
ŝiritan	ŝir'it'a'n
ŝirazo	ŝiraz'o
ŝirma	ŝirm'a
ŝirmaj	ŝirm'a'j
ŝirman	ŝirm'a'n
ŝirmas	ŝirm'as
ŝirme	ŝirm'e
ŝirmi	ŝirm'i
ŝirmis	ŝirm'is
ŝirmo	ŝirm'o
ŝirmon	ŝirm'o'n
ŝirmos	ŝirm'os
ŝirmu	ŝirm'u
ŝirmado	ŝirm'ad'o
ŝirmadon	ŝirm'ad'o'n
ŝirmanta	ŝirm'ant'a
ŝirmante	ŝirm'ant'e
ŝirmata	ŝirm'at'a
ŝirmataj	ŝirm'at'a'j
ŝirmejo	ŝirm'ej'o
ŝirmejoj	ŝirm'ej'o'j
ŝirmejojn	ŝirm'ej'o'j'n
ŝirmejon	ŝirm'ej'o'n
ŝirmilo	ŝirm'il'o
ŝirmiloj	ŝirm'il'o'j
ŝirmilon	ŝirm'il'o'n
ŝirmita	ŝirm'it'a
ŝirmitaj	ŝirm'it'a'j
ŝirmveston	ŝirm'vest'o'n
ŝivao	ŝiva'o
ŝlemo	ŝlem'o
ŝlima	ŝlim'a
ŝlimo	ŝlim'o
ŝlimon	ŝlim'o'n
ŝlimeca	ŝlim'ec'a
ŝlimecaj	ŝlim'ec'a'j
ŝlosas	ŝlos'as
ŝlosi	ŝlos'i
ŝlosis	ŝlos'is
ŝlosu	ŝlos'u
